date,cpi_monthly_pct,bank_rate,d_bank_rate,output_gap,rulc,narrative_aggregate,energy_subindex,wage_subindex,supply_subindex
2011-06-01,-0.1,0.5,0.0,-2.75169108491804,0.13563258744238027,-0.3420125487127474,-0.44210005402565,-0.628227401863445,-0.322248444892466
2011-07-01,0.0,0.5,0.0,-3.1499274035655667,-0.16353340062060795,-0.4000950442558085,-0.4640012153170325,-0.7189636400767735,-0.5233521695647921
2011-08-01,0.6,0.5,0.0,-3.2353963629059734,-0.3833607463730182,-0.4118216254494407,-0.611905288696289,-0.7098266929388046,-0.0429475642740726
2011-09-01,0.6,0.5,0.0,-3.114151760389827,-0.5386247738278449,-0.6017470706582946,-0.7675166241824627,-0.7403352601187569,-0.7109306275844574
2011-10-01,0.1,0.5,0.0,-3.2186962340022163,-0.6342475574871997,-0.3661527845167344,-0.4225004017353058,-0.6354519128799438,-0.0654525111118952
2011-11-01,0.2,0.5,0.0,-2.7916746702320694,-0.6736666012797876,-0.3988395383478039,-0.2831339202821255,-0.829826833172278,-0.7237631065977944
2011-12-01,0.4,0.5,0.0,-1.9454614457024455,-0.6534004744313648,-0.4853532384335994,-0.9117096781730653,-0.805537160899904,-0.6407503373920918
2012-01-01,-0.5,0.5,0.0,-2.2913951160814072,-0.5425020877490638,-0.3628048322473963,-0.7211113646626472,-0.8425491253534952,-0.7244953513145447
2012-02-01,0.6,0.5,0.0,-2.540521186458289,-0.31030443158091003,-0.3412997262695661,-0.4290194145657799,-0.5591097216714512,-0.4389972016215324
2012-03-01,0.3,0.5,0.0,-2.800051475607379,0.006296059238852791,-0.2631130867327253,-0.4281502030789852,-0.5025783963501453,-0.6061039822442191
2012-04-01,0.6,0.5,0.0,-2.5279329025078567,0.2909626773414331,-0.3352731171374519,-0.5739253560702006,-0.2602597517626626,0.4064865931868553
2012-05-01,-0.1,0.5,0.0,-1.299317413390888,0.3058948185854504,-0.3657508888168306,-0.5042390960913438,-0.7906180752648247,-0.0279711753129959
2012-06-01,-0.4,0.5,0.0,-2.7690335132779076,-0.06505775153842208,-0.4173751201367739,-0.902176968753338,-0.6265100042025248,-0.9528791844844818
2012-07-01,0.1,0.5,0.0,-0.3826581578096899,-0.5723947880237112,-0.4006563864648342,-0.7103841503461202,-0.7366896470387777,-0.6052503474056721
2012-08-01,0.5,0.5,0.0,-1.107567876824067,-0.9150364281792278,-0.4325633110817183,-0.5717608247484479,-0.8278764230864388,-0.5485209822654724
2012-09-01,0.4,0.5,0.0,-3.3636547630830016,-0.8464117884436462,-0.4325633110817183,-0.5717608247484479,-0.8278764230864388,-0.5485209822654724
2012-10-01,0.5,0.5,0.0,-3.034710756871295,-0.5900435407848015,-0.3331496570081937,-0.8125232338905335,-0.7360144512993949,-0.7161753237247467
2012-11-01,0.2,0.5,0.0,-2.0666549843427973,-0.43928001922921567,-0.2082402093861347,-0.2005107104778289,-0.3085788451135158,-0.8023016601800919
2012-12-01,0.5,0.5,0.0,-1.1162922787086416,-0.5966666910225626,-0.0534072715789079,0.0288502325614293,-0.2671209382159369,-0.9208225846290587
2013-01-01,-0.5,0.5,0.0,-2.428123474036159,-0.7939912476413014,-0.1125329047855403,-0.024798959493637,-0.4332413375377655,-0.1197606126467386
2013-02-01,0.7,0.5,0.0,-2.1350740532350976,-0.6255793382939245,-0.0105605915535328,-0.241075313091278,-0.3403362979491551,0.1193587537854909
2013-03-01,0.3,0.5,0.0,-1.4219880585994105,0.05282786192823963,-0.1207582230147506,-0.7651729683081309,-0.469061370406832,-0.5918249256081052
2013-04-01,0.2,0.5,0.0,-1.0408839621425692,1.0500665627035666,-0.0791857373551465,-0.275841270883878,-0.0829018384218216,0.0567182494061333
2013-05-01,0.2,0.5,0.0,-0.7748352794422431,1.7628498182986618,-0.1401878485520338,-0.6177014648914337,-0.4880761752525965,0.3563379177025386
2013-06-01,-0.2,0.5,0.0,0.4311989078222389,1.8844787398970553,-0.1240206705124089,-0.3953847090403239,-0.5400273474779996,-0.2617414705455303
2013-07-01,0.0,0.5,0.0,0.25991327412588916,1.6172452814074312,-0.0735314871184527,0.0369635820388793,-0.1313954666256904,-0.2161990388606985
2013-08-01,0.4,0.5,0.0,-0.6558285862618973,1.3096816249422716,-0.0818178810108945,0.0446995794773101,-0.2469161308060089,-0.1234399656003171
2013-09-01,0.4,0.5,0.0,1.0483100553411617,1.2536636745718255,0.1082823223744829,0.3451493382453918,-0.521031622774899,0.1845112025737762
2013-10-01,0.1,0.5,0.0,0.33804420627427945,1.3935133394388899,-0.2064716532826423,-0.877882182598114,-0.2374212782491337,-0.2269952126911708
2013-11-01,0.1,0.5,0.0,0.2478966369910296,1.6150429660987342,-0.1381662500728117,-0.4460536738236745,-0.4953425489366054,-0.1025177538394928
2013-12-01,0.4,0.5,0.0,0.047816651024579215,1.784786876031319,-0.1321847574335747,-0.2767630418141683,-0.4535584151744842,-0.5791944980621337
2014-01-01,-0.6,0.5,0.0,0.0520344288243102,1.8297444408895913,-0.1806550973631215,-0.6420330901940664,-0.3162296233992827,-0.3992422173420588
2014-02-01,0.5,0.5,0.0,0.6763861141535266,1.6571818077110834,-0.2082217327977825,-0.8864943623542786,-0.1971877284348011,-0.3884580930074056
2014-03-01,0.2,0.5,0.0,-0.058315180990575755,1.2594856716459546,-0.2225149576552212,-0.3539697329203288,-0.3226486312992432,-0.1303908261987898
2014-04-01,0.4,0.5,0.0,-0.3814681903603123,0.6270960376359547,-0.2950144808410722,-0.895607203245163,-0.2565836676142432,-0.6420968423287073
2014-05-01,-0.1,0.5,0.0,-0.7090555669544862,-0.09688559365574889,-0.0609929244033992,-0.2151244163513183,0.2807921182650786,0.085345779856046
2014-06-01,0.2,0.5,0.0,-0.6210955468834989,-0.8530240093267416,-0.4006707152690399,-0.7624705930550894,-0.4964037105441093,-0.2642806768417358
2014-07-01,-0.3,0.5,0.0,0.29541819198124486,-1.4806526932899189,-0.33961435360834,-0.8761877417564392,-0.4615313589859467,0.2474282582600911
2014-08-01,0.4,0.5,0.0,-0.7699755914518214,-1.8877984728878694,-0.2921341091047886,-0.8512659668922424,-0.4644026963247193,-0.5150494188070297
2014-09-01,0.0,0.5,0.0,0.1392927594751292,-1.9628370798257855,-0.410454234191113,-0.8581956028938293,-0.3447350521882375,-0.657653447240591
2014-10-01,0.1,0.5,0.0,0.10875604623112878,-1.7953800300468892,-0.5386761888861656,-0.8793433308601379,-0.4113318715244531,-0.4104939041038354
2014-11-01,-0.3,0.5,0.0,0.2821004047699027,-1.4869040803773714,-0.5394054302402461,-0.6743591096666124,-0.4173616627852122,-0.6355556945006052
2014-12-01,0.0,0.5,0.0,1.2711833815524543,-1.163088209201124,-0.4158533024727492,-0.6644618787935802,-0.2914699904620647,-0.3836731274922689
2015-01-01,-0.9,0.5,0.0,0.6197632998945934,-0.8479901654095734,-0.4158533024727492,-0.6644618787935802,-0.2914699904620647,-0.3836731274922689
2015-02-01,0.3,0.5,0.0,1.598454738285504,-0.593699532009051,-0.4158533024727492,-0.6644618787935802,-0.2914699904620647,-0.3836731274922689
2015-03-01,0.2,0.5,0.0,2.763554789364253,-0.443273017097745,-0.4158533024727492,-0.6644618787935802,-0.2914699904620647,-0.3836731274922689
2015-04-01,0.2,0.5,0.0,2.2181974290072404,-0.29464928755578157,-0.4158533024727492,-0.6644618787935802,-0.2914699904620647,-0.3836731274922689
2015-05-01,0.2,0.5,0.0,2.773081328919158,-0.11482654910270895,-0.4158533024727492,-0.6644618787935802,-0.2914699904620647,-0.3836731274922689
2015-06-01,0.0,0.5,0.0,2.726549786728949,0.15525719882099054,-0.4158533024727492,-0.6644618787935802,-0.2914699904620647,-0.3836731274922689
2015-07-01,-0.2,0.5,0.0,2.1806301419128538,0.41726339184311456,-0.4158533024727492,-0.6644618787935802,-0.2914699904620647,-0.3836731274922689
2015-08-01,0.2,0.5,0.0,2.3330866237837533,0.5903341891846381,-0.4158533024727492,-0.6644618787935802,-0.2914699904620647,-0.3836731274922689
2015-09-01,-0.1,0.5,0.0,2.1857563320298645,0.5855027087924292,-0.2426402304226007,-0.3318866112015464,-0.3002468854188919,-0.4274732861667871
2015-10-01,0.1,0.5,0.0,3.1290528039402687,0.451209836353339,-0.2750870651423426,-0.6923620020970702,-0.3922163353938805,-0.5660783001466801
2015-11-01,0.0,0.5,0.0,1.1905103000096062,0.2603374983515039,-0.3958023275127229,-0.528525332158262,-0.131517532798979,-0.3328933318456014
2015-12-01,0.1,0.5,0.0,0.4389043179273244,0.08704017460159363,-0.3958023275127229,-0.528525332158262,-0.131517532798979,-0.3328933318456014
2016-01-01,-0.8,0.5,0.0,1.3966615359151113,-0.009830807063160307,-0.3009239815097923,-0.2565652387482779,-0.6274477380972642,-0.2341412351681636
2016-02-01,0.2,0.5,0.0,0.9495024091005888,0.03408609104935678,-0.3821800353977343,-0.4125751952330271,-0.3942893333733082,-0.417988350445574
2016-03-01,0.4,0.5,0.0,0.0988956204528435,0.22016872197889725,-0.1991114767306313,-0.0549627058207988,0.0006456504265467,-0.4924191843186106
2016-04-01,0.1,0.5,0.0,2.836827796023833,0.48564420857077906,-0.2301256516948342,-0.2539671510457992,-0.4156089064975579,-0.4983250031868617
2016-05-01,0.2,0.5,0.0,0.8104882239067912,0.6608018457434639,-0.2244816398620605,-0.0383501730181954,-0.5038776627431313,-0.1771437307963004
2016-06-01,0.2,0.5,0.0,-0.03688909119823336,0.6602416825981727,-0.2977495361683946,-0.1343302528063456,-0.6266171197096507,-0.3782484173774719
2016-07-01,-0.1,0.5,0.0,-0.2827341456661969,0.5057508058753157,-0.4366024241058363,-0.8970219492912292,-0.8463771144549052,-0.8371611873308817
2016-08-01,0.3,0.25,-0.25,-0.7300450607514719,0.26012237908865643,-0.1455584969992439,0.9224550127983092,-0.6372132173606327,-0.1610527639522364
2016-09-01,0.2,0.25,0.0,-0.4710806659188549,-0.018598078394305162,-0.2969380466267466,-0.0756720900535583,-0.4672633111476898,-0.3229354798793792
2016-10-01,0.1,0.25,0.0,-2.7501476768288846,-0.29212432339837946,-0.2969380466267466,-0.0756720900535583,-0.4672633111476898,-0.3229354798793792
2016-11-01,0.2,0.25,0.0,-1.4647649583069189,-0.5418640953690712,0.0053141658995733,-0.2192646265029907,-0.1241817772388458,-0.0747339186760095
2016-12-01,0.5,0.25,0.0,0.6961760170714371,-0.7313881301493019,0.013560062055202,0.1852656379342079,-0.5458437667952644,0.0664131710162529
2017-01-01,-0.5,0.25,0.0,-0.9420636879890587,-0.8176210510893789,0.013560062055202,0.1852656379342079,-0.5458437667952644,0.0664131710162529
2017-02-01,0.7,0.25,0.0,-1.789295124771506,-0.7474137221418431,-0.0177990500427161,0.4525996804237365,-0.1445522945788171,-0.0384988188743591
2017-03-01,0.4,0.25,0.0,-2.437086855598025,-0.5507440941762809,-0.1931610781405317,-0.2593329548835754,-0.2173229759702315,-0.1788414956794844
2017-04-01,0.5,0.25,0.0,-2.4749672213281393,-0.27166243106551136,-0.1931610781405317,-0.2593329548835754,-0.2173229759702315,-0.1788414956794844
2017-05-01,0.3,0.25,0.0,-1.9046844410295805,-0.11546589699875653,-0.0985219655558466,-0.642889529466629,-0.0589548830802624,0.0906807837386926
2017-06-01,0.0,0.25,0.0,-1.2381435566688026,-0.17898999724685893,-0.0985219655558466,-0.642889529466629,-0.0589548830802624,0.0906807837386926
2017-07-01,-0.1,0.25,0.0,-0.9747937849930999,-0.4208888055150517,-0.0985219655558466,-0.642889529466629,-0.0589548830802624,0.0906807837386926
2017-08-01,0.6,0.25,0.0,-1.4092189133712019,-0.7553368278022887,-0.0985219655558466,-0.642889529466629,-0.0589548830802624,0.0906807837386926
2017-09-01,0.3,0.25,0.0,0.4376985781005871,-1.0813044106001257,-0.0136067661223933,0.5113558073838552,0.0346376568078994,0.4261242303997278
2017-10-01,0.1,0.25,0.0,0.892557214037204,-1.2686596371770165,-0.0136067661223933,0.5113558073838552,0.0346376568078994,0.4261242303997278
2017-11-01,0.3,0.5,0.25,1.0547264031970371,-1.1800118609460064,-0.0124125224264229,0.7663022130727768,0.1003793116126741,0.1051360011100769
2017-12-01,0.4,0.5,0.0,0.24433223538418147,-0.7776666809431454,-0.0124125224264229,0.7663022130727768,0.1003793116126741,0.1051360011100769
2018-01-01,-0.5,0.5,0.0,1.5757270155500436,-0.28097684078955965,-0.0124125224264229,0.7663022130727768,0.1003793116126741,0.1051360011100769
2018-02-01,0.4,0.5,0.0,1.548754941780217,-0.046920569152231195,-0.0511860344558954,-0.3809927329421043,-0.0779464926857214,-0.0929325865986554
2018-03-01,0.1,0.5,0.0,0.7511611807971441,-0.2753017223042775,-0.0783390859736407,-0.732725864648819,0.1372608679036299,-0.0094604829654974
2018-04-01,0.4,0.5,0.0,0.8265642742875556,-0.755598346547881,-0.0783390859736407,-0.732725864648819,0.1372608679036299,-0.0094604829654974
2018-05-01,0.4,0.5,0.0,-0.0666357798675854,-1.146303044354191,-0.0783390859736407,-0.732725864648819,0.1372608679036299,-0.0094604829654974
2018-06-01,0.0,0.5,0.0,1.2731914605224048,-1.1954750565974948,-0.0945577686462475,-0.0061021496852238,0.1348090258737405,-0.3313225265592336
2018-07-01,0.0,0.5,0.0,0.09974937839656306,-0.9978346339182487,-0.0945577686462475,-0.0061021496852238,0.1348090258737405,-0.3313225265592336
2018-08-01,0.7,0.75,0.25,0.9597218732003476,-0.6993247074721154,-0.0945577686462475,-0.0061021496852238,0.1348090258737405,-0.3313225265592336
2018-09-01,0.1,0.75,0.0,0.17962404268123677,-0.45919609212781154,-0.0945577686462475,-0.0061021496852238,0.1348090258737405,-0.3313225265592336
2018-10-01,0.1,0.75,0.0,-0.21244171441452409,-0.3279734545800217,-0.0945577686462475,-0.0061021496852238,0.1348090258737405,-0.3313225265592336
2018-11-01,0.2,0.75,0.0,-0.7972433903844944,-0.2950501212467316,-0.1652891792548008,-0.8716880321502686,-0.0003954466432332,-0.6070447617676109
2018-12-01,0.2,0.75,0.0,-2.8640773591797952,-0.3653114406201752,-0.1816317125878952,-0.4744677543640136,0.0138163131972153,-0.542586627183482
2019-01-01,-0.8,0.75,0.0,-0.010764806812080252,-0.4097650809459452,-0.1816317125878952,-0.4744677543640136,0.0138163131972153,-0.542586627183482
2019-02-01,0.5,0.75,0.0,0.6725268786798466,-0.2866715228190486,-0.3859287035815856,-0.7614669526616732,-0.2452417322331004,-0.5064055901830611
2019-03-01,0.2,0.75,0.0,0.9718994297809758,0.014733545444833851,-0.1186971114266936,0.9189821779727936,-0.2121565027628094,-0.1749087048487531
2019-04-01,0.6,0.75,0.0,-1.3314904792540716,0.4272423823281635,-0.1186971114266936,0.9189821779727936,-0.2121565027628094,-0.1749087048487531
2019-05-01,0.3,0.75,0.0,-0.14485441566884916,0.6254971356842276,-0.1491714826869693,-0.3871149569749832,-0.6198949809703562,-0.1835377472452819
2019-06-01,0.0,0.75,0.0,-0.024132475688709576,0.46620608879068826,-0.3995415567109982,-0.955503597855568,-0.634277781782051,-0.6377198962494731
2019-07-01,0.0,0.75,0.0,0.2924448766552956,0.09676544350734062,-0.3995415567109982,-0.955503597855568,-0.634277781782051,-0.6377198962494731
2019-08-01,0.4,0.75,0.0,-0.4454252889467547,-0.25035920243734466,-0.3995415567109982,-0.955503597855568,-0.634277781782051,-0.6377198962494731
2019-09-01,0.1,0.75,0.0,1.2192709538823898,-0.40959623632881303,-0.3258335613736919,-0.8041619062423706,-0.3106993367629392,-0.4582179204925247
2019-10-01,-0.2,0.75,0.0,2.1094248159885254,-0.5526153847055681,-0.3258335613736919,-0.8041619062423706,-0.3106993367629392,-0.4582179204925247
2019-11-01,0.2,0.75,0.0,1.8706278568101808,-0.9177288909241632,-0.3966773868623105,-0.5323655247688294,-0.4500547712047895,-0.4252020124759939
2019-12-01,0.0,0.75,0.0,1.9190128154805919,-1.552862305823588,-0.3966773868623105,-0.5323655247688294,-0.4500547712047895,-0.4252020124759939
2020-01-01,-0.3,0.75,0.0,3.558632333357359,-1.7540923193831937,-0.1366211776539944,-0.370406287908554,-0.4442945800721645,0.0331893971091822
2020-02-01,0.4,0.75,0.0,5.44811333929438,-0.5661080923884398,-0.1366211776539944,-0.370406287908554,-0.4442945800721645,0.0331893971091822
2020-03-01,0.0,0.1,-0.65,-2.323070851632636,2.139417949359057,0.035934393278888,-0.8782865901788076,-0.5056684437920066,-0.2825301766395569
2020-04-01,-0.2,0.1,0.0,-19.31418916010408,5.226244835654459,0.035934393278888,-0.8782865901788076,-0.5056684437920066,-0.2825301766395569
2020-05-01,0.0,0.1,0.0,-12.158043860334367,6.574580270772046,-0.2437488013973175,-0.9285208053059048,-0.5852196651200453,0.0862749081570655
2020-06-01,0.1,0.1,0.0,-1.9966063271017909,5.128320554406063,-0.3022158720037516,-0.5231044292449951,-0.4823357338278458,-0.4941507741808891
2020-07-01,0.4,0.1,0.0,2.1091905770720842,2.199643371361759,-0.3022158720037516,-0.5231044292449951,-0.4823357338278458,-0.4941507741808891
2020-08-01,-0.4,0.1,0.0,5.242803222966952,-0.41510762227101594,-0.2866313114389777,0.1389618158340454,-0.4922069287107837,0.2568721920251846
2020-09-01,0.4,0.1,0.0,6.237530775113331,-0.9962845877072191,-0.1563311117852843,-0.5747443238894144,-0.3077017184008251,-0.0094777221481005
2020-10-01,0.0,0.1,0.0,6.153155495823803,-0.12872993783501485,-0.1563311117852843,-0.5747443238894144,-0.3077017184008251,-0.0094777221481005
2020-11-01,-0.1,0.1,0.0,6.972515368728072,1.1756136950054064,-0.0573173992335796,-0.5586664751172066,-0.4522795324975794,-0.1580583055814107
2020-12-01,0.3,0.1,0.0,6.632492570677773,1.9595058950698352,-0.0887354393675923,-0.4784964621067047,-0.1840349181609995,-0.1401082069746085
2021-01-01,-0.2,0.1,0.0,4.02157819851876,2.068992125350988,-0.0887354393675923,-0.4784964621067047,-0.1840349181609995,-0.1401082069746085
2021-02-01,0.1,0.1,0.0,4.144357129424581,1.3841345563555763,-0.1165277500499467,0.3506785690784454,-0.335013186230379,-0.4792911378400666
2021-03-01,0.3,0.1,0.0,4.640341561706851,0.07461628358447214,0.0531686631552243,-0.0762419658047812,-0.0451690008242925,0.231290140404151
2021-04-01,0.6,0.1,0.0,4.500347180587383,-1.5703747491421893,0.0531686631552243,-0.0762419658047812,-0.0451690008242925,0.231290140404151
2021-05-01,0.6,0.1,0.0,3.5355492865354776,-2.745984845700633,-0.0417842920497059,0.2625761379798253,-0.226583550635137,-0.0595505840399048
2021-06-01,0.5,0.1,0.0,2.9402478390345266,-3.004379005809543,-0.0243201960193019,0.1866766845478731,-0.2436995031312108,0.1625974535942077
2021-07-01,0.0,0.1,0.0,1.4031881519030343,-2.6674575201994344,-0.0243201960193019,0.1866766845478731,-0.2436995031312108,0.1625974535942077
2021-08-01,0.7,0.1,0.0,2.1317110654972105,-2.2303232050480126,-0.0836006111358521,0.0997409394809177,-0.2003383185891878,-0.0844839408117182
2021-09-01,0.3,0.1,0.0,1.2583926217308417,-2.114636121133895,-0.0013321175106934,-0.1389129393630557,-0.3220940161319006,-0.2099227677099406
2021-10-01,1.1,0.1,0.0,-0.09960720184114535,-2.1958012907248303,-0.0013321175106934,-0.1389129393630557,-0.3220940161319006,-0.2099227677099406
2021-11-01,0.7,0.1,0.0,1.3246755072571226,-2.2022871137690636,-0.1625334459316471,-0.251327393501997,-0.3031291331031492,-0.2417967057433621
2021-12-01,0.5,0.25,0.15,0.3607440916797877,-1.9794545789165063,-0.2432904570148541,-0.581707525998354,-0.3723226982355118,-0.5192302333958009
2022-01-01,-0.1,0.25,0.0,0.8375502270355994,-1.5934923908750953,-0.2432904570148541,-0.581707525998354,-0.3723226982355118,-0.5192302333958009
2022-02-01,0.8,0.5,0.25,0.06917375175055085,-1.235964018278679,-0.0406058307956246,-0.3055281421100652,-0.1942636544505755,-0.2163414735203752
2022-03-01,1.1,0.75,0.25,-0.1193983348869665,-1.0831049513740254,0.0612367784053506,-0.1627077665925026,-0.0969136012718081,-0.4547610381204221
2022-04-01,2.5,0.75,0.0,0.4696780952023971,-0.9968246790982072,0.0612367784053506,-0.1627077665925026,-0.0969136012718081,-0.4547610381204221
2022-05-01,0.7,1.0,0.25,0.9642338504431969,-0.9704098882036938,-0.0150746497110678,-0.1521661447154151,-0.2524511391917864,-0.3202379776076192
2022-06-01,0.8,1.25,0.25,-0.47152508247600977,-0.9118462100351721,0.1344510403082326,0.1487412202087315,-0.026306780545335,-0.1998153602970498
2022-07-01,0.6,1.25,0.0,-0.160083311768755,-0.8184094851773516,0.1344510403082326,0.1487412202087315,-0.026306780545335,-0.1998153602970498
2022-08-01,0.5,1.75,0.5,-0.23538830104001818,-0.6399277011578164,-0.0862644402117564,-0.107711784149471,0.0630676692182367,-0.3133312379320462
2022-09-01,0.5,2.25,0.5,-1.785321854927524,-0.38617354862937603,-0.0810487667267972,0.0697634241410664,-0.1528985341389974,-0.4064327561193042
2022-10-01,2.0,2.25,0.0,-1.1653528601256902,-0.13943441232369125,-0.0810487667267972,0.0697634241410664,-0.1528985341389974,-0.4064327561193042
2022-11-01,0.4,3.0,0.75,-0.251122768063361,0.06459535428886554,-0.1362571516972884,-0.1986523075029254,-0.3211105247693402,-0.2219978326724635
2022-12-01,0.4,3.5,0.5,-1.303577014819357,0.14538603625027235,-0.1923711464266505,-0.4190500006079674,-0.4027804119719399,-0.2018665849852065
2023-01-01,-0.6,3.5,0.0,-1.5689511284656454,0.20092022007434096,-0.1923711464266505,-0.4190500006079674,-0.4027804119719399,-0.2018665849852065
2023-02-01,1.1,4.0,0.5,-1.4352813553943022,0.31410209164084435,-0.386355674312431,-0.789614912122488,-0.3978793699951732,-0.2675567338243126
2023-03-01,0.8,4.25,0.25,-1.7987261640214136,0.4848680681210915,-0.178932858108167,-0.2256837331113361,-0.3684590752753947,-0.1767702127496401
2023-04-01,1.2,4.25,0.0,-1.4621502424392752,0.7529903738316079,-0.178932858108167,-0.2256837331113361,-0.3684590752753947,-0.1767702127496401
2023-05-01,0.7,4.5,0.25,-2.125675150616946,0.932807705650518,0.0254882154986262,0.1347481045458052,-0.0756327246244137,-0.0690801017917692
